"","distance_high_speed_running","total_distance","distance_walking","distance_jogging","distance_high_speed_sprinting","distance_low_speed_sprinting","linebreaks_attempted_attacking_line_completed","linebreaks_attempted_completed","linebreaks_attempted_defensive_line","final_third_entries_reception_central_channel","possession","linebreaks_completed_attacking_and_midfield_line","linebreaks_attempted_all_lines","phase_aggregate_low_press","completed_ball_progressions","linebreaks_attempted_midfield_line","receptions_in_behind","attempted_ball_progressions","offers_to_receive_in_behind","take_ons_completed","final_third_entries_reception_inside_left_channel","receptions_between_midfield_and_defensive_line","distributions_under_pressure","linebreaks_completed_under_pressure","offers_to_receive_outside","offers_to_receive_inside","offers_to_receive_in_front","offers_to_receive_total","final_third_entries_reception_left_channel","linebreaks_attempted_defensive_line_completed","phase_aggregate_recovery","phase_aggregate_build_up_opposed","phase_aggregate_build_up_unopposed","linebreaks_completed_midfield_and_defensive_line","phase_aggregate_long_ball","linebreaks_attempted_attacking_line","linebreaks_attempted","linebreaks_attempted_under_pressure","phase_aggregate_mid_block","phase_aggregate_progression","phase_aggregate_final_third","phase_aggregate_set_pieces","phase_aggregate_mid_press","phase_aggregate_high_press","phase_aggregate_high_block","linebreaks_attempted_midfield_and_defensive_line","receptions_under_pressure","distributions_completed_under_pressure","final_third_entries_reception_right_channel","offers_to_receive_in_between","completed_switches_of_play","attempted_switches_of_play","goalkeeper_defensive_actions_outside_penalty_area","phase_aggregate_defensive_transition","phase_aggregate_attacking_transition","phase_aggregate_low_block","linebreaks_attempted_attacking_and_midfield_line","phase_aggregate_counterattack","phase_aggregate_counter_press","linebreaks_completed_all_lines","receptions_under_no_pressure","goalkeeper_defensive_actions_inside_penalty_area","receptions_under_indirect_pressure","goalkeeper_goal_preventions","received_offers_to_receive","receptions_under_direct_pressure","forced_turnovers","defensive_pressures_applied","direct_defensive_pressures_applied","final_third_entries_reception_inside_right_channel","linebreaks_attempted_midfield_line_completed","attempt_at_goal_off_target","passes","attempt_at_goal_blocked","attempt_at_goal_on_target","attempt_at_goal","assists","crosses_completed","crosses","passes_completed","goals_conceded","goals","goals_from_direct_free_kicks","attempt_at_goal_outside_the_penalty_area_on_target","goals_outside_the_penalty_area","headed_attempt_at_goal","fouls_against","penalties_scored","penalties","throw_ins","direct_free_kicks","indirect_free_kicks","free_kicks","corners","goal_kicks","attempt_at_goal_outside_the_penalty_area","goals_inside_the_penalty_area","attempt_at_goal_inside_the_penalty_area_on_target","attempt_at_goal_inside_the_penalty_area","attempt_at_goal_against","goals_conceded_from_attempt_at_goal_against","own_goals","time_played","substitutions_in","substitutions_out","red_cards","attempt_at_goal_from_free_kicks","fouls_for","offsides","yellow_cards","negara","status"
"87",17460.4224,118617,42132.7584,50258.0229,2170.6911,6606.9669,49,98,16,6,0.435833486309188,31,11,0.638797345492303,15,75,9,17,134,2,3,86,279,45,321,293,239,614,8,8,3.57094487833506,17.6511192190119,33.6579232817276,3,5.24849620353022,74,165,80,22.7100356643041,17,18.1121191204023,9.07824672123065,7.00419845605165,8.68809534558259,6.05615999277685,11,202,204,8,241,7,8,0,8.92849081305584,11.7468691450547,15.8638436187982,31,2.06340597574204,7.08771613019728,3,267,14,183,10,208,19,71,357,51,6,41,2,461,2,9,14,5,6,14,392,1,6,0,2,0,3,12,0,0,18,12,1,13,6,7,5,6,7,9,10,0,0,98,5,5,0,1,10,3,0,"portugal","win"
"88",15016.77604,108034.36,39119.241756,45828.175512,1879.797864,6190.368828,49,107,17,6,0.487681298995604,25,8,0.845577359234789,15,82,8,15,115,2,2,94,304,68,296,321,262,617,18,7,4.28212207869047,18.6018689901133,35.1835131596768,3,1.81707372127669,68,167,108,22.9045459027709,15,18.7734188072773,10.5886867410049,7.13687013115077,7.91342076718272,4.35607928212208,12,173,224,8,240,3,4,0,11.7468691450547,8.92849081305584,13.8472537225126,25,0.568823077964877,8.25855438319692,2,329,17,154,15,214,19,54,240,31,2,51,7,512,1,1,10,0,1,15,436,6,1,0,0,0,2,10,0,0,27,12,3,15,6,5,5,1,1,5,14,0,0,98,5,5,0,1,12,3,2,"swiss","lose"
"89",15545.860148,112814.66,40162.01896,46772.958036,2606.018646,7739.085676,27,86,17,4,0.351627157154385,20,5,0.466464717798138,17,81,6,17,115,2,8,94,227,49,202,211,143,413,13,11,3.69269081380438,10.3376592522199,27.7507201615538,2,4.46648650253913,52,150,82,18.2701778512888,17,22.0087310307962,8.20390223621299,7.03599769555279,6.40784998792024,5.11810291958594,6,180,142,9,155,2,4,0,14.0385437380364,18.8845662697116,22.2472077161813,20,1.04534790484958,9.45380884238696,1,222,19,164,14,145,16,81,362,53,5,48,6,390,1,3,10,0,5,18,306,2,0,0,1,0,2,16,0,0,18,10,3,13,2,11,4,0,2,6,14,0,0,96,5,5,0,0,10,0,2,"uruguay","lose"
"90",14757.1509,115742.36,43206.622988,48634.939672,2349.569908,6794.076532,51,112,11,4,0.53173395401469,29,8,0.947346538769934,13,83,11,16,142,3,9,127,414,69,417,335,283,752,17,7,4.68030766489472,18.4225687152707,31.1146834172722,4,4.36544072552919,76,170,103,17.7055801383898,16,25.9473322306677,8.05906075191882,5.15843554182876,3.0618002553975,4.53182074659223,8,298,330,11,327,9,10,1,18.8845662697116,14.0385437380364,15.992041101179,29,1.95320485420655,12.7966026193092,4,320,16,283,11,265,15,68,226,42,9,54,7,596,1,4,14,0,4,16,517,0,2,0,2,1,0,10,1,1,19,15,0,15,6,8,10,1,2,4,10,0,0,96,5,5,0,1,13,2,3,"portugal","win"
"91",13447.689056,102497.63,37975.371915,43663.99038,1721.960184,5688.618465,55,86,9,3,0.421454878225647,24,7,0.268307692307692,14,52,5,17,116,1,0,52,275,53,263,257,169,520,15,4,3.70461538461538,16.6878093674601,40.0442753028381,2,1.89289356515683,75,136,96,32.6596923076923,17,8.93216924110141,5.4896400766112,4.29046153846154,7.62830769230769,3.17046153846154,7,197,200,9,235,9,12,0,13.1581538461538,13.5263537546949,13.4990769230769,24,0.669104295699326,9.51876923076923,2,257,19,182,6,174,15,52,256,37,1,27,5,450,0,0,5,0,4,9,381,2,0,0,0,0,2,15,0,0,20,16,3,19,1,4,3,0,0,2,6,0,0,100,2,2,0,0,15,3,4,"qatar","lose"
"92",13639.315248,105241.63,38413.19495,44938.17601,2273.219208,5988.248747,52,99,13,6,0.505504255923261,25,6,0.129343581324777,14,68,8,20,127,4,7,58,232,56,296,236,218,532,8,7,1.54217346964157,17.9052307692308,34.7076923076923,4,4.90092307692308,74,155,77,34.6242817700172,20,19.0227692307692,8.09969230769231,5.66126905952292,4.81307365122006,6.35275974429769,7,149,172,6,187,9,9,0,13.5263537546949,13.1581538461538,12.6507972041887,25,1.68369230769231,10.5464766310972,4,343,10,134,5,179,15,72,279,44,4,40,3,480,0,3,6,1,4,14,409,0,2,0,0,0,2,15,1,1,17,14,3,17,3,7,2,2,3,4,5,0,0,100,4,4,0,0,15,4,2,"ecuador","win"
"93",14814.901952,112918.46,40278.014682,48724.31549,2642.291964,6458.935912,56,117,13,2,0.425882609072044,31,8,0.759698611370571,16,84,9,19,109,1,5,79,268,68,254,257,203,511,7,7,4.34024534528925,11.4310353087721,31.0472859675178,5,4.78369185071624,77,174,102,18.6479025261017,19,14.4037752119964,6.77549944904901,4.13060173941922,4.38591028914212,3.19654606970131,9,174,182,11,199,12,15,0,9.64879506818606,10.6034111052556,33.9269776034207,31,1.70555262779668,8.41065238599332,4,256,22,155,12,165,19,67,308,49,5,54,7,424,0,2,10,1,5,18,353,3,1,0,0,0,1,7,0,0,20,13,2,15,6,12,6,1,2,4,12,0,0,104,4,4,0,0,12,4,3,"qatar","lose"
"94",15668.876482,114706.27,40399.548294,48727.223496,2397.361043,7501.790058,49,113,19,6,0.484249506221199,33,12,0.459924304124946,19,91,12,24,136,2,4,95,256,36,292,261,227,553,26,9,5.23642983758923,15.1130207360359,38.4031799406356,7,3.88567158602653,74,184,71,25.3509318258037,24,24.3103555638583,8.82475039956826,5.47118286781967,7.55761030996982,6.92042351363005,13,148,178,18,190,9,9,0,10.6034111052556,9.64879506818606,9.87879078235041,33,0.958963820910393,8.37445503760839,7,382,20,138,11,206,10,67,232,25,4,55,6,511,1,4,12,2,6,20,445,1,3,0,0,0,3,12,0,0,22,7,4,11,7,8,2,3,4,10,10,0,0,104,5,5,0,0,6,3,3,"senegal","win"
"95",14690.78386,111462.7,43035.74847,43024.6022,3198.97949,7512.58598,37,86,17,4,0.292338333169064,38,8,1.24991733350969,8,91,6,12,100,1,3,95,202,50,162,175,75,337,5,5,4.27220421929767,6.664674237896,13.809191738062,0,11.051338247991,70,178,74,20.4858585190574,12,15.7069801421266,13.6763631533506,5.58164142583163,3.31547737142605,4.62491457796001,10,155,117,11,162,1,3,0,20.3039922403721,21.9798100551239,11.9679033573617,38,2.09205020920502,11.4013623437603,0,124,55,137,26,99,18,82,269,50,3,44,8,297,0,2,10,1,2,9,197,2,1,0,1,0,3,20,0,0,26,17,6,23,1,14,4,1,1,6,25,0,0,102,4,4,0,1,16,2,6,"saudi","lose"
"96",13667.350928,110936.29,42743.752537,44918.103821,2795.594508,6811.488206,43,121,33,3,0.550789983555788,39,20,1.13236368466494,19,100,17,22,194,1,5,119,255,75,239,253,140,492,16,16,1.47771800491466,10.5702885611622,28.56953905165,9,3.26036637788506,65,198,124,11.174204688849,22,24.819787051121,9.29171351101118,5.48914126319984,6.69456066945607,5.92415487812977,23,181,146,16,158,4,4,1,21.9798100551239,20.3039922403721,6.42890350003321,39,2.49763022727774,16.4109716410972,9,273,21,162,10,142,19,76,229,58,7,62,8,412,7,10,25,1,6,34,336,1,2,1,7,1,1,18,0,0,23,20,2,22,8,11,15,1,3,10,10,0,0,102,5,5,0,4,20,6,1,"mexico","win"
"97",14883.88097,109844.14,40027.204616,45607.286928,2702.165844,6634.586056,30,89,22,2,0.441475531512825,28,13,1.28131265411472,15,78,15,19,123,5,4,107,266,63,259,243,149,502,12,15,3.02813817896896,13.4378553628027,29.291572911374,8,4.02603372771043,51,151,108,25.9581038416334,19,30.775930899325,13.4076117200165,3.91998709469269,3.80706565575093,5.10911898232434,15,187,182,13,230,9,10,0,12.6391353444104,16.4162493043962,20.3028138178969,28,3.00742783866831,7.86762841933031,6,217,29,166,9,172,21,63,263,41,4,44,8,383,2,3,14,0,7,19,313,2,0,0,2,0,1,13,0,0,17,14,0,14,6,6,7,0,1,7,9,0,0,94,4,4,0,0,13,2,2,"senegal","lose"
"98",15538.053765,110591.13,40797.067857,45165.417492,2178.645261,6911.945625,40,96,22,2,0.459724157479885,22,7,0.295177953594154,15,82,14,23,117,3,2,87,249,55,253,253,198,506,11,10,4.93818199414483,10.8012813126541,38.1455534302768,3,3.05579240891388,58,162,81,13.5685078996395,23,21.2637983084829,8.56474546585855,3.75505068834531,4.68171590331712,3.55423290024437,12,147,172,20,191,6,7,0,16.5106094698894,12.6391353444104,27.5531683240183,22,1.32970755651833,10.2997749872977,0,295,22,126,15,177,21,73,251,51,7,46,5,438,1,3,9,1,8,25,374,0,2,0,1,0,4,13,0,0,28,12,2,14,7,10,4,2,2,5,14,0,0,94,4,4,0,0,13,1,1,"netherland","win"
"99",14969.07551,116490.86,44231.579542,48367.005072,2178.379082,6744.820794,39,95,20,3,0.411606916897819,25,11,0.908458760458491,14,78,10,17,108,1,7,111,245,47,250,206,155,456,14,8,5.09634149076961,11.3175557981281,30.374851940451,4,4.11547483568293,59,157,88,22.5791256364819,17,18.7774345634856,5.83180435237011,4.30003813283686,4.64547677261614,4.21928624301833,13,151,162,12,193,9,10,0,13.8242749153227,15.4481269015491,17.664475897804,25,0.836100982418654,9.47040218927346,3,259,15,131,10,150,20,82,253,43,1,48,3,403,3,7,14,3,4,13,325,2,3,0,1,0,0,13,0,0,22,17,1,18,0,8,4,3,6,10,11,0,0,96,4,4,0,0,17,0,4,"swiss","win"
"100",17212.114593,118622.43,42715.937043,50034.940974,2099.617011,6559.820379,38,95,10,4,0.453406819959432,21,5,0.582948184964117,17,89,7,21,92,1,6,86,250,48,272,305,271,577,17,5,4.58926539238684,14.6474955698616,35.3446535519616,3,4.84735649716247,58,157,84,17.156327658685,21,18.4675085798883,6.24144815055741,5.57168404672876,5.85270687693058,6.3613349745686,6,173,156,10,214,7,9,0,15.4481269015491,14.2100895000112,13.5425134124533,21,1.44231847648101,9.03918062103723,2,310,29,147,14,196,26,74,276,45,4,52,6,476,1,4,11,1,6,23,390,3,2,0,0,0,4,18,0,0,23,14,0,14,2,7,1,2,4,10,14,0,0,96,5,5,0,0,13,0,7,"serbia","lose"
"101",16045.586912,116610.37,40160.611428,52847.819684,1760.816587,5795.535389,25,58,11,1,0.178951399802684,23,5,0.53286193915963,7,58,1,9,52,2,0,47,140,38,111,139,94,250,5,1,3.52146708719097,11.8134883531851,16.5901052888329,1,8.61620391072808,50,119,61,39.1748906297691,9,13.9192650107728,7.9942274076182,5.6134906908129,4.64441957472785,3.4438905280293,6,100,97,1,104,1,1,0,5.36804354461288,19.8422700109761,25.6524061450809,23,2.75214439611366,4.17896021975786,0,126,31,91,17,59,9,76,585,47,0,32,0,231,0,0,0,0,0,5,170,7,0,0,0,0,0,12,0,0,13,8,3,11,0,10,0,0,0,0,17,0,0,100,5,5,0,0,7,7,2,"costarica","lose"
"102",14838.998376,122433.98,42937.596786,55634.000512,2179.324844,6844.059482,100,233,34,8,0.746179854938103,29,16,2.03666815724216,33,129,23,42,180,2,4,174,585,117,541,544,487,1085,30,22,6.79295906337656,19.361074371757,41.6166446230542,12,0.423491708210398,113,276,154,7.7320216268954,42,21.6400447654899,3.76437073964798,6.45961217935688,11.1589902028538,6.29293873734705,17,315,489,12,418,8,8,0,19.8422700109761,5.36804354461288,7.47997886092931,29,0.410774239495371,14.5331111020773,11,775,5,303,0,491,12,46,185,50,6,111,8,1061,2,7,17,4,2,17,1003,0,7,0,0,0,1,8,1,1,24,12,6,18,5,0,5,7,7,12,0,0,0,100,5,5,0,1,11,3,0,"spain","win"
"103",18163.779324,115545.67,38037.634564,47997.671318,2853.978049,8492.606745,37,83,17,4,0.330032434677786,31,7,0.703674745895231,25,65,9,30,108,4,3,95,258,46,190,250,155,440,3,7,5.62177005663724,15.4940484726803,21.6893732970027,2,4.90463215258856,61,143,86,26.8502450466256,30,22.4838663416033,7.03857736985516,7.56879421804382,12.7481454642537,6.75832872480406,9,184,169,8,177,2,2,0,11.7803543164439,19.8193030259573,9.81712084517249,31,1.4025527032841,8.29725967314403,1,193,12,161,7,137,23,101,387,59,3,39,5,352,1,4,10,1,1,13,281,1,1,0,0,0,1,11,0,0,15,13,2,15,5,5,3,1,4,7,7,0,0,94,5,5,0,1,12,5,3,"germany","draw"
"104",17562.429651,112651.89,37479.283803,47978.439951,2658.584604,6973.151991,64,146,19,2,0.56074642832066,22,6,1.24766958267604,21,87,16,31,90,1,3,115,424,95,316,317,273,633,12,13,6.68005162770687,17.7863803657583,32.2870382730411,8,1.61521005358607,80,186,127,8.4726803384483,31,13.6768435706249,9.46242300577814,4.99067833070414,15.7636598307759,7.83880682633013,10,310,318,5,270,9,10,0,19.8193030259573,11.7803543164439,11.1114298006597,22,2.33223364289937,13.2826616951097,6,349,23,283,11,246,27,79,275,45,1,69,4,647,0,3,7,1,2,9,565,1,1,0,2,0,0,13,0,0,23,14,2,16,6,9,4,1,1,3,10,0,0,94,4,4,0,0,11,2,1,"spain","draw"
"105",15455.036012,109922.02,41704.414388,44232.620848,2143.47939,6375.47716,42,103,16,3,0.468488684054963,30,6,0.127860610263523,12,99,5,12,109,2,12,103,302,62,289,272,204,561,9,4,5.56085298196949,14.2213064588519,37.3872863029907,2,4.85943938961198,67,182,98,18.4119278779473,12,19.1399077889755,5.9478150883349,5.20327669902913,5.1122572815534,5.3874826629681,14,222,231,18,248,8,9,0,12.1727635228849,10.0738504222939,18.2732316227462,30,0.454934921865437,8.18524618585298,1,299,20,199,8,203,23,79,316,39,5,57,2,500,1,3,7,0,4,20,424,1,0,0,0,0,1,10,0,0,12,12,2,14,5,9,1,0,3,6,8,0,0,94,4,4,0,0,11,2,1,"cameroon","lose"
"106",15153.842796,113257.42,39855.286098,49153.72028,2389.731562,6704.839264,44,123,21,11,0.435832533107933,20,8,0.862948304704394,25,101,13,26,153,2,2,112,330,77,260,349,200,609,19,13,3.53135582847117,13.7244278779473,30.9205963938974,4,1.08139736477115,56,178,122,23.0996776694276,26,19.7923890429958,6.31176317614424,5.25113223713738,6.33440776857481,8.70496552286915,11,212,247,16,256,4,5,0,10.0738504222939,12.1727635228849,16.9855971275858,20,0.953536754507628,7.45236443755355,3,304,20,189,7,227,23,64,313,59,6,66,4,497,0,3,8,1,6,28,437,0,1,0,1,0,3,12,0,0,16,8,3,11,11,6,2,1,2,6,7,0,0,94,5,5,0,0,10,2,2,"swiss","win"
"107",15678.279036,115196.76,42668.879904,47610.820908,2430.651636,6808.128516,45,109,23,7,0.502581616898597,38,12,0.361407078224554,17,99,13,22,166,3,8,89,240,48,357,353,253,710,12,11,3.81217540290196,15.8860090997725,29.682929801755,8,5.1978388040299,78,200,93,10.5557637736253,22,20.1596522586935,8.1664364640884,3.0572361728329,4.97938641109386,7.95363281040852,18,156,141,11,291,6,7,0,23.3669754243187,14.9303298667533,9.96680409059271,38,1.50105622359441,15.1255554960647,3,363,16,137,9,198,19,81,217,39,6,53,5,501,4,4,13,0,5,23,396,1,0,0,2,0,1,16,0,0,40,15,0,15,5,5,4,0,2,9,8,0,0,100,4,4,0,0,13,3,3,"tunisia","lose"
"108",16299.18585,120734.71,41472.372885,52869.729509,2197.371722,7896.050034,28,91,19,4,0.315184628445476,37,8,0.889665258368541,6,89,8,13,108,2,3,111,217,41,168,174,114,342,11,10,5.63251543711407,8.29630026235477,18.9778872409916,3,9.61476682550731,63,171,81,22.0344491387715,13,21.5800182042084,9.12753654227124,5.17143321416965,4.7184757881053,1.99666883327917,8,158,127,19,120,2,4,0,14.9303298667533,23.3669754243187,24.163145921352,37,1.10296086095197,10.6394215144621,3,181,25,140,13,117,18,88,273,57,7,53,3,334,2,2,8,1,4,23,239,0,1,0,0,0,3,15,0,0,22,15,4,19,2,8,3,1,2,5,13,0,0,100,5,5,0,0,13,0,0,"australia","win"
"109",13902.504868,111756.47,43752.658005,45239.019056,2514.520575,6347.767496,40,96,21,4,0.30981306731938,22,12,1.4330319273738,11,73,9,14,99,3,3,95,210,42,212,169,107,381,11,7,3.47970473044922,7.41032476975279,22.3476126999515,3,3.2537566650509,59,153,72,24.3326655476745,14,21.2039505574406,10.3399175957344,4.71420578627249,2.83538181096251,2.78665150612738,14,195,140,10,175,4,5,1,8.869817893046,24.3153174987882,35.8113595755049,22,4.18686379059622,7.4322739004097,3,166,13,165,11,139,30,68,400,72,0,49,2,328,0,3,5,1,4,27,266,0,1,0,2,1,1,14,0,0,30,6,2,8,7,8,3,0,1,2,9,0,0,94,3,3,0,0,6,3,1,"tunisia","win"
"110",13243.43354,107845.55,43224.49644,42652.915025,2307.89477,6416.810225,33,99,10,5,0.563735995450322,16,3,0.493819680077557,29,82,11,32,96,2,6,101,330,49,322,308,322,630,14,4,7.35882210373243,20.4974100745393,41.8439908314834,3,2.30476293609111,46,138,66,21.9704314105671,32,21.9881964372733,8.67309184760048,3.91117304895783,2.19037809015996,2.9871546291808,5,239,241,21,212,3,4,0,24.3153174987882,8.869817893046,10.876151236064,16,0.739978703051961,16.8928744546777,1,417,23,217,6,268,22,80,202,66,3,62,4,636,2,3,9,0,5,20,566,1,0,0,2,0,1,6,0,0,27,14,3,17,8,9,5,0,1,4,5,0,0,94,5,5,0,1,14,2,0,"france","lose"
"111",14055.851846,109640.03,40533.919091,45840.496543,2653.288726,6567.437797,41,96,17,4,0.389536822405321,35,10,0.238080577961127,12,89,8,14,136,3,0,91,247,38,260,291,187,551,15,8,3.7764505469696,12.7642660174397,32.5454003428316,6,5.75857700047201,79,185,80,30.0309915235105,14,24.6962959282538,11.4637418329069,2.12630585144593,2.80976130369641,1.4921084498081,13,175,181,19,228,9,14,0,13.7429961209285,11.7978784189998,27.1801818443035,35,0.896827565647281,9.7756706278349,3,252,18,152,10,171,23,54,231,35,4,47,5,419,1,0,6,0,3,19,340,0,0,0,0,0,0,10,0,0,29,7,1,8,3,9,5,0,0,1,10,0,0,92,3,3,0,0,7,0,1,"korea","draw"
"112",14606.492004,110154.54,41682.477936,44954.067774,2775.894408,6135.607878,33,88,16,4,0.496841708713757,22,6,1.10799195091049,12,79,4,16,157,2,4,81,205,37,283,283,254,566,13,7,4.33508061510943,11.5304886809105,45.2178642530222,3,1.91490671756665,51,146,54,20.3835738951134,16,19.9392484042444,7.55290109393921,3.90281469704121,3.74630462325789,3.80841179539413,9,133,140,14,155,10,10,0,11.7978784189998,13.7429961209285,21.4021315181477,22,1.59267696980892,9.54214592701165,1,408,10,114,6,191,19,65,240,39,6,48,6,528,2,0,10,0,4,16,459,0,0,0,0,0,3,7,0,0,22,10,0,10,4,8,3,0,0,7,6,0,0,92,4,4,0,0,10,1,1,"uruguay","draw"
"113",19030.259197,126953.03,41831.023385,54386.678052,3021.482114,8670.891949,63,146,23,4,0.512223714807351,29,8,0.369486567623739,24,93,12,28,149,1,5,101,276,67,392,333,240,725,14,15,6.82780386421369,13.3753011580011,40.2725965648558,9,2.16153726587394,83,199,94,21.0838272650296,28,22.1885443382296,5.41987254216212,4.3542965642881,7.03050830061838,8.62135324455392,13,154,195,11,336,5,6,0,18.1035588740923,11.9248853656641,10.2121981884895,29,2.03038781378721,9.8888974418187,4,454,14,129,7,258,25,81,242,47,4,68,4,569,1,1,6,1,4,31,509,1,1,0,0,0,3,15,0,0,22,10,1,11,5,5,2,1,1,4,7,0,0,98,5,5,0,0,9,1,4,"usa","draw"
"114",17678.193504,121000.64,41200.71792,53228.181536,2020.710688,6860.736288,49,103,17,5,0.396289205906989,37,9,0.639232144244968,9,80,9,15,100,3,2,73,272,60,207,229,164,436,7,8,5.70840133675293,13.1373001821774,27.1431503861648,4,5.52433736176327,77,174,94,28.4992616771586,15,16.8219023426475,8.20952967438996,5.38975674205331,3.11649957254993,1.60293774772674,11,177,187,7,172,8,9,0,11.9248853656641,18.1035588740923,25.2545270847906,37,2.77884689400354,9.10274345224217,3,236,17,143,7,156,34,72,292,57,2,46,3,409,1,3,7,0,6,15,321,1,1,0,0,0,3,10,1,1,25,15,0,15,3,10,2,1,3,5,6,0,0,98,4,4,0,0,14,1,2,"wales","draw"
"115",12941.307489,106163.31,40979.03766,43346.479473,2505.454116,6391.031262,72,131,13,7,0.586944830855806,20,3,0.476686025042801,20,71,9,23,140,4,4,97,324,64,420,357,327,777,10,8,3.2562355231797,20.0219284887616,39.5159489147429,3,1.71367078841039,83,167,78,29.6552418678036,23,19.2097622383302,4.90751456823212,7.61019168149317,7.66054583906811,3.67249655913257,6,195,255,9,310,6,7,1,16.3902782906442,11.9165093094556,7.95259995300279,20,2.36949503563379,13.3304239820068,1,418,10,170,8,293,25,56,167,24,12,51,6,588,3,7,17,2,7,17,529,0,3,1,1,1,1,9,0,0,16,16,1,17,6,4,4,2,6,13,7,0,0,100,5,5,0,1,14,1,0,"england","win"
"116",13412.586484,104296.94,37338.30452,46078.388092,1637.461958,5840.62864,33,55,4,2,0.330963849118576,16,3,1.50047714767213,4,45,1,8,71,1,1,46,213,37,191,197,179,388,7,1,2.5684757669895,16.8451441807379,33.7993890362214,1,6.14824263990063,55,104,72,32.9150677143611,8,13.2867837121085,9.26012957803216,7.17548882256198,8.26176118251406,4.2049907616089,4,134,155,4,138,1,2,0,11.9205701407078,16.3902782906442,17.3174148748249,16,1.09436369129544,7.15315425067511,1,186,22,121,17,118,13,49,328,54,0,21,3,325,3,1,7,0,1,4,261,3,0,0,1,0,0,16,0,0,18,9,1,10,1,7,6,0,0,1,17,0,0,100,5,5,0,1,9,1,2,"wales","lose"
"117",14780.081635,116838.59,43604.161788,47681.828579,3248.112802,7524.405196,38,92,24,7,0.339079814493186,36,15,0.797047072423794,11,85,9,17,109,5,3,103,223,62,184,159,85,343,7,10,2.75822905469812,8.42890579286132,12.919836161498,4,6.46284376828555,76,185,118,22.7878394548441,17,28.888238736103,9.74107665301346,3.83109903259172,4.22455229480601,3.46806741436307,15,159,122,7,149,5,8,1,15.6641044882065,21.5476887068461,19.3461374652686,36,4.76009362200117,9.50372158111424,4,153,25,141,9,101,18,84,276,47,4,44,6,295,8,6,21,1,4,26,202,0,2,0,4,1,2,10,0,0,18,10,1,11,7,8,14,1,2,7,10,0,0,98,5,5,0,0,9,2,2,"iran","win"
"118",15686.85182,111889.1,42327.64653,44151.43886,2875.54987,6858.80183,56,129,17,8,0.516486996075158,35,11,0,24,111,13,32,135,5,3,101,258,60,350,372,301,722,18,8,6.19368051492101,16.5473462185897,32.6708175309794,3,3.60192264789989,80,208,100,6.11761263897016,32,21.7575597785304,8.02928590261018,5.08484493856056,3.66588648332358,2.12404915155061,11,168,169,13,286,13,13,0,21.5476887068461,15.6641044882065,15.1170275014628,35,0.703754030867828,12.7208894090111,3,354,37,143,21,223,25,89,161,24,11,65,4,508,0,3,10,0,5,20,413,2,0,0,2,0,1,9,0,0,30,10,2,12,2,8,5,0,1,5,21,0,0,98,4,4,1,0,10,2,1,"wales","lose"
